First Union National Bank, Charlotte, N.C.					
	—Year ended Dec. 31—
($000s)	1999	1998	1997	1996	1995
Total assets	229,272,000	222,483,323	27,852,777	27,128,369	32,686,855
Total equity	17,135,000	18,676,817	2,290,943	2,219,537	3,039,847
Return on average assets 	1.25	1.20	1.60	0.81	1.21
NPAs/loans + OREO	0.91	0.84	1.05	1.43	1.73
Loan loss reserves/NPAs	138.39	161.72	118.74	92.30	117.45
NCOs/avg. loans	0.50	0.49	0.34	0.25	0.42
Total equity/total assets	7.47	8.39	8.23	8.18	9.30
Avg. equity + avg. reserves/avg. loans	14.53	15.42	14.09	14.08	15.62
Purchased funds/total liabilities	37.06	28.90	16.13	11.70	15.10
Loans/core deposits	118.76	106.32	78.47	93.65	96.25
